Home Team,Away Team,FTR,oddH,oddD,oddA,ExpRes,min_odds,size,mov
Crystal Palace,Arsenal,A,4.2,3.6,1.85,A,1.85,0.5405405405405405,33
Fulham,Liverpool,D,11.0,6.0,1.25,A,1.25,0.8,23
Bournemouth,Aston Villa,H,3.75,3.5,2.0,A,2.0,0.5,13
Leeds,Wolves,H,2.25,3.4,3.2,H,2.25,0.4444444444444444,11
Newcastle,Nott'm Forest,H,1.66,3.8,5.25,H,1.66,0.6024096385542169,11
Tottenham,Southampton,H,1.33,5.5,8.5,H,1.33,0.7518796992481203,11
Everton,Chelsea,A,5.5,4.0,1.61,A,1.61,0.6211180124223602,33
Leicester,Brentford,D,2.0,3.75,3.5,H,2.0,0.5,21
Man United,Brighton,A,1.6,4.2,5.25,H,1.6,0.625,31
West Ham,Man City,A,8.0,5.0,1.36,A,1.36,0.7352941176470588,33
Aston Villa,Everton,H,1.8,3.5,4.75,H,1.8,0.5555555555555556,11
Arsenal,Leicester,H,1.53,4.33,5.75,H,1.53,0.6535947712418301,11
Brighton,Newcastle,D,2.45,3.2,3.0,H,2.45,0.4081632653061224,21
Man City,Bournemouth,H,1.06,13.0,29.0,H,1.06,0.9433962264150942,11
Southampton,Leeds,D,2.25,3.5,3.1,H,2.25,0.4444444444444444,21
Wolves,Fulham,D,2.3,3.3,3.2,H,2.3,0.4347826086956522,21
Brentford,Man United,H,3.75,3.5,2.0,A,2.0,0.5,13
Nott'm Forest,West Ham,H,4.2,3.6,1.85,A,1.85,0.5405405405405405,13
Chelsea,Tottenham,D,2.25,3.4,3.2,H,2.25,0.4444444444444444,21
Liverpool,Crystal Palace,D,1.18,6.75,16.0,H,1.18,0.8474576271186441,21
Tottenham,Wolves,H,1.4,4.75,7.5,H,1.4,0.7142857142857143,11
Crystal Palace,Aston Villa,H,2.5,3.25,2.9,H,2.5,0.4,11
Everton,Nott'm Forest,D,1.9,3.6,4.0,H,1.9,0.5263157894736842,21
Fulham,Brentford,H,2.45,3.4,2.9,H,2.45,0.4081632653061224,11
Leicester,Southampton,A,1.83,4.0,4.0,H,1.83,0.5464480874316939,31
Bournemouth,Arsenal,A,8.0,4.75,1.4,A,1.4,0.7142857142857143,33
Leeds,Chelsea,H,5.75,4.5,1.53,A,1.53,0.6535947712418301,13
West Ham,Brighton,A,2.3,3.4,3.1,H,2.3,0.4347826086956522,31
Newcastle,Man City,D,7.5,5.0,1.36,A,1.36,0.7352941176470588,23
Man United,Liverpool,H,5.25,4.33,1.6,A,1.6,0.625,13
Southampton,Man United,A,4.2,4.0,1.8,A,1.8,0.5555555555555556,33
Brentford,Everton,D,2.0,3.5,3.75,H,2.0,0.5,21
Brighton,Leeds,H,1.9,3.8,3.8,H,1.9,0.5263157894736842,11
Chelsea,Leicester,H,1.4,5.0,7.0,H,1.4,0.7142857142857143,11
Liverpool,Bournemouth,H,1.1,10.0,26.0,H,1.1,0.9090909090909091,11
Man City,Crystal Palace,H,1.18,7.5,13.0,H,1.18,0.8474576271186441,11
Arsenal,Fulham,H,1.3,5.75,9.0,H,1.3,0.7692307692307692,11
Aston Villa,West Ham,A,2.3,3.4,3.1,H,2.3,0.4347826086956522,31
Wolves,Newcastle,D,2.7,3.3,2.7,D,3.3,0.30303030303030304,22
Nott'm Forest,Tottenham,A,7.0,4.6,1.44,A,1.44,0.6944444444444444,33
Crystal Palace,Brentford,D,2.05,3.4,3.6,H,2.05,0.48780487804878053,21
Fulham,Brighton,H,3.1,3.3,2.3,A,2.3,0.4347826086956522,13
Southampton,Chelsea,H,5.25,4.0,1.61,A,1.61,0.6211180124223602,13
Leeds,Everton,D,2.15,3.5,3.3,H,2.15,0.46511627906976744,21
Arsenal,Aston Villa,H,1.45,4.5,6.0,H,1.45,0.6896551724137931,11
Bournemouth,Wolves,D,3.5,3.3,2.15,A,2.15,0.46511627906976744,23
Man City,Nott'm Forest,H,1.06,13.0,29.0,H,1.06,0.9433962264150942,11
West Ham,Tottenham,D,3.6,3.8,1.95,A,1.95,0.5128205128205129,23
Liverpool,Newcastle,H,1.33,5.25,9.0,H,1.33,0.7518796992481203,11
Leicester,Man United,A,3.4,3.75,2.05,A,2.05,0.48780487804878053,33
