Team,won,loose,tie,Total,final_place
Man City,28,5,5,38,1
Arsenal,26,6,6,38,2
Man United,23,9,6,38,3
Newcastle,19,5,14,38,4
Liverpool,19,9,10,38,5
Brighton,18,12,8,38,6
Aston Villa,18,13,7,38,7
Tottenham,18,14,6,38,8
Brentford,15,9,14,38,9
Fulham,15,16,7,38,10
Crystal Palace,11,15,12,38,11
Chelsea,11,16,11,38,12
Wolves,11,19,8,38,13
West Ham,11,20,7,38,14
Bournemouth,11,21,6,38,15
Nott'm Forest,9,18,11,38,16
Everton,8,18,12,38,17
Leicester,9,22,7,38,18
Leeds,7,21,10,38,19
Southampton,6,25,7,38,20
