AGD,Away Team,Date,Div,FTR,HGD,Home Team,HTR,Referee,Time,A Hh,A Pld,A Pos,A Pts,A Rel,AC,AD,AF,AGA,AGF,AH Ch,AL,AR,AS,AST,Avg A,Avg AHA,Avg AHH,Avg CA,Avg CAHA,Avg CAHH,Avg CD,Avg CH,Avg D,Avg H,Avg<2.5,Avg>2.5,AvgC<2.5,AvgC>2.5,AW,Ax G,Ax GA,Ax PTS,AY,B365<2.5,B365>2.5,B365A,B365Aha,B365Ahh,B365C<2.5,B365C>2.5,B365Ca,B365Caha,B365Cahh,B365Cd,B365Ch,B365D,B365H,BWA,Bwca,Bwcd,Bwch,BWD,BWH,Ftag,Fthg,H Pld,H Pos,H Pts,H Rel,HC,HD,HF,HGA,HGF,HL,HR,HS,HST,Htag,Hthg,HW,Hx G,Hx GA,Hx PTS,HY,IWA,Iwca,Iwcd,Iwch,IWD,IWH,Max A,Max AHA,Max AHH,Max CA,Max CAHA,Max CAHH,Max CD,Max CH,Max D,Max H,Max<2.5,Max>2.5,MaxC<2.5,MaxC>2.5,P<2.5,P>2.5,Paha,Pahh,Pc<2.5,Pc>2.5,Pcaha,Pcahh,PSA,Psca,Pscd,Psch,PSD,PSH,VCA,Vcca,Vccd,Vcch,VCD,VCH,WHA,Whca,Whcd,Whch,WHD,WHH
45,Arsenal,8/5/2022,E0,A,-9,Crystal Palace,A,A Taylor,12/30/1899 8:00:00 PM,0.5,38,2,84,0,5,6,11,43,88,0.5,6,0,10,2,1.88,1.87,2.01,1.85,1.85,2.03,3.57,4.56,3.59,4.39,1.76,2.09,1.76,2.08,26,76.51,45.16,72.53,2,1.72,2.1,1.85,1.89,2.04,1.72,2.1,1.8,1.84,2.09,3.6,4.5,3.6,4.2,1.87,1.83,3.5,4.5,3.5,4.33,2,0,38,11,45,0,3,12,16,49,40,15,0,10,2,1,0,11,40.72,51.63,44.24,1,1.85,1.85,3.55,4.4,3.55,4.3,1.95,1.91,2.06,1.91,1.88,2.09,3.7,5.01,3.78,4.6,1.91,2.19,1.91,2.19,1.78,2.14,1.89,2.03,1.78,2.14,1.88,2.04,1.89,1.88,3.63,4.58,3.65,4.5,1.87,1.85,3.5,4.75,3.5,4.6,1.83,1.78,3.4,4.8,3.5,4.4
28,Liverpool,8/6/2022,E0,D,2,Fulham,H,A Madley,12/30/1899 12:30:00 PM,1.75,38,5,67,0,4,10,9,47,75,1.75,9,0,11,4,1.28,1.99,1.89,1.28,1.99,1.89,6.2,10.33,6.05,10.99,2.63,1.48,2.73,1.47,19,80.77,55.77,67.37,0,2.62,1.5,1.25,2.03,1.9,2.62,1.5,1.28,2.03,1.9,5.75,11,6,11,1.28,1.29,6,9.25,5.75,10,2,2,38,10,52,0,4,7,7,53,55,16,0,9,3,0,1,15,47.98,71.49,39.24,2,1.27,1.3,5.5,11,5.75,12,1.31,2.04,1.92,1.3,2.06,2.01,6.93,11.95,6.4,13,2.76,1.54,3,1.51,2.7,1.5,2,1.91,2.77,1.49,2.02,1.91,1.28,1.29,6.5,10.5,6.22,11.2,1.25,1.29,6,11.5,6,13,1.27,1.27,5.5,11,5.5,12
5,Aston Villa,8/6/2022,E0,H,-34,Bournemouth,H,P Bankes,12/30/1899 3:00:00 PM,0.5,38,7,61,0,5,7,16,46,51,0.5,13,0,15,2,2.04,2.04,1.85,2,2,1.88,3.49,3.99,3.5,3.8,1.8,2.03,1.76,2.1,18,50,53.96,54.37,3,1.8,2,2,2.06,1.87,1.72,2.1,1.95,2,1.93,3.5,4,3.5,3.75,2,1.95,3.4,3.9,3.4,3.75,0,2,38,15,39,0,5,6,18,71,37,21,0,7,3,0,1,11,40.08,67.6,34.73,3,2.05,2,3.45,3.85,3.45,3.65,2.1,2.07,1.88,2.06,2.04,1.94,3.63,4.25,3.66,4,1.87,2.1,1.81,2.24,1.81,2.1,2.04,1.88,1.79,2.13,2,1.93,2.04,2,3.59,4.09,3.58,3.93,2,2,3.4,4.1,3.3,3.75,2.05,1.95,3.4,4,3.3,3.75
-27,Wolves,8/6/2022,E0,H,-30,Leeds,D,R Jones,12/30/1899 3:00:00 PM,-0.25,38,13,41,0,4,8,9,58,31,-0.25,19,0,15,6,3.18,1.87,2.01,3.02,1.81,2.08,3.36,2.43,3.34,2.34,1.81,2.03,1.87,1.96,11,35.13,62.68,35.01,0,1.85,2.05,3.2,1.88,2.05,1.95,1.95,3,1.85,2.08,3.3,2.37,3.4,2.25,2.95,2.75,3.3,2.4,3.3,2.3,1,2,38,19,31,1,6,10,13,78,48,21,0,12,4,1,1,7,47.8,69.58,40.58,2,3.15,2.95,3.3,2.45,3.3,2.3,3.3,1.9,2.06,3.18,1.87,2.14,3.55,2.5,3.54,2.42,1.87,2.11,1.96,2.09,1.83,2.09,1.89,2.04,1.94,1.96,1.84,2.1,3.3,3.09,3.44,2.45,3.33,2.39,3.1,3,3.4,2.4,3.2,2.3,3.2,2.9,3.3,2.4,3.3,2.25
-30,Nott'm Forest,8/6/2022,E0,H,35,Newcastle,D,S Hooper,12/30/1899 3:00:00 PM,-0.75,38,16,38,0,1,11,14,68,38,-1,18,0,5,0,5.57,2.02,1.86,6.15,1.86,2.03,4.07,1.59,3.8,1.67,1.81,2.03,1.89,1.94,9,39.57,68.46,35.05,3,1.85,2.05,5.25,2.06,1.87,1.96,1.94,6,1.96,1.97,4,1.53,3.8,1.66,5.5,6,3.9,1.58,3.8,1.65,0,2,38,4,71,0,11,14,9,33,68,5,0,23,10,0,0,19,76.98,41.86,71.67,0,5.5,6,3.8,1.63,3.8,1.65,6,2.08,1.92,7,1.97,2.19,4.3,1.67,3.96,1.72,1.86,2.1,1.97,2.06,1.81,2.1,2.01,1.92,1.93,1.97,1.93,1.99,5.83,6.6,4.22,1.57,3.74,1.71,5.5,7,3.9,1.57,3.7,1.62,5.25,6.5,3.9,1.53,3.7,1.67
-37,Southampton,8/6/2022,E0,H,7,Tottenham,H,A Marriner,12/30/1899 3:00:00 PM,-1.5,38,20,25,1,2,7,6,73,36,-1.5,25,0,10,2,8.64,1.85,2.03,8.59,1.85,2.03,5.24,1.37,5.27,1.36,2.34,1.61,2.31,1.63,6,39.27,62.9,36.47,0,2.3,1.61,8.5,1.89,2.04,2.3,1.61,8.5,1.86,2.07,5,1.36,5.5,1.33,8.25,8.25,5.25,1.36,5.25,1.35,1,4,38,8,60,0,10,6,11,63,70,14,0,18,8,1,2,18,57.83,51.66,57.6,3,7.75,8,5.25,1.37,5.25,1.37,9.2,1.91,2.08,10,1.88,2.08,5.5,1.4,5.5,1.4,2.48,1.65,2.4,1.67,2.37,1.65,1.85,2.08,2.36,1.65,1.88,2.04,9.11,8.55,5.34,1.39,5.39,1.37,9,10,5.25,1.33,5,1.33,8.5,9.5,4.8,1.33,5,1.35
-9,Chelsea,8/6/2022,E0,A,-23,Everton,A,C Pawson,12/30/1899 5:30:00 PM,0.75,38,12,44,0,16,11,11,47,38,1,16,0,15,6,1.63,1.8,2.08,1.57,2,1.88,4.04,6.44,3.96,5.74,1.84,1.99,1.77,2.08,11,51.89,54.02,52.28,2,1.88,2.02,1.61,1.82,2.11,1.72,2.1,1.55,2,1.93,4.2,6.5,4,5.5,1.58,1.57,3.9,6,3.8,5.5,1,0,38,17,36,0,4,12,14,57,34,18,0,8,4,1,0,8,48.65,68.58,40.71,3,1.63,1.6,3.9,6.25,3.9,5.5,1.67,1.84,2.13,1.64,2.11,1.94,4.3,7.08,4.2,6.1,1.92,2.07,1.86,2.18,1.86,2.05,1.82,2.13,1.79,2.13,1.98,1.94,1.63,1.56,4.16,6.89,4.06,6.04,1.6,1.6,4,6,3.7,5.75,1.62,1.53,3.9,6.5,3.75,5.8
12,Brentford,8/7/2022,E0,D,-17,Leicester,H,J Gillett,12/30/1899 2:00:00 PM,-0.5,38,9,59,0,6,14,5,46,58,-0.5,9,0,8,3,3.64,1.86,2.02,4.08,1.96,1.92,3.66,1.92,3.66,2.03,2.08,1.77,1.97,1.86,15,59.23,51.45,58.26,0,2.1,1.72,3.5,1.89,2.04,1.96,1.94,4,1.99,1.94,3.8,1.85,3.75,2,3.6,4,3.6,1.88,3.6,2,2,2,38,18,34,1,5,7,6,68,51,22,0,14,5,0,1,9,48.99,59.79,45.07,0,3.55,3.9,3.65,1.95,3.65,2.05,3.8,1.91,2.07,4.4,2.04,1.96,3.88,2.01,3.84,2.1,2.17,1.84,2.07,1.96,2.12,1.79,1.87,2.07,2.01,1.9,1.96,1.96,3.74,4.29,3.69,1.96,3.69,2.07,3.6,4.2,3.6,1.91,3.5,1.95,3.5,4,3.6,1.88,3.6,2
19,Brighton,8/7/2022,E0,A,15,Man United,A,P Tierney,12/30/1899 2:00:00 PM,-1,38,6,62,0,2,8,12,53,72,-0.75,12,0,15,4,5.68,1.79,2.09,4.73,1.88,2,3.77,1.78,4.01,1.62,1.93,1.89,1.94,1.9,18,77.72,50.15,70.86,1,1.98,1.92,5.25,1.75,2.05,2.01,1.89,4.33,1.87,2.06,3.75,1.8,4.2,1.6,5.5,4.6,3.7,1.75,3.9,1.62,2,1,38,3,75,0,6,6,7,43,58,9,0,17,5,2,0,23,71.9,50.29,66.4,4,5.75,4.6,3.7,1.77,4,1.6,6.12,1.86,2.18,5,1.97,2.08,3.94,1.83,4.22,1.66,2,1.95,2.03,1.96,2,1.9,1.77,2.18,1.94,1.96,1.88,2.05,5.68,4.72,3.86,1.81,4.14,1.65,5.75,4.75,3.7,1.8,3.8,1.57,5.5,4.6,3.6,1.78,3.9,1.6
61,Man City,8/7/2022,E0,A,-13,West Ham,A,M Oliver,12/30/1899 4:30:00 PM,1.5,38,1,89,0,4,5,4,33,94,1.5,5,0,14,2,1.37,2.04,1.84,1.39,2.04,1.85,5.27,7.9,5.25,8.32,2.47,1.54,2.62,1.5,28,84.32,34.21,83.04,1,2.5,1.53,1.36,2.07,1.86,2.62,1.5,1.36,2.08,1.85,5.25,7.5,5,8,1.38,1.38,5,7.5,5,7.75,2,0,38,14,40,0,1,7,8,55,42,20,0,6,1,1,0,11,51.21,55.31,51.62,0,1.37,1.4,5,7.5,5.25,7.5,1.41,2.1,1.9,1.42,2.12,2,5.55,8.5,5.6,9.6,2.61,1.62,2.82,1.54,2.59,1.56,2.05,1.88,2.67,1.52,2.08,1.85,1.38,1.41,5.35,8,5.48,8.58,1.33,1.36,5.25,8.5,5,8.5,1.33,1.36,5,8,5,9
